"","Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","mental_illness","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence"
"24","2014","35-65","male","United States","Iowa","No","No","Yes","Yes","Never","1000+","No","No","Maybe","No","No","Maybe","Don't know","Don't know","Maybe","No","No","No","No","Yes","Maybe","No"
"25","2014","20-35","male","United States","California","No","Yes","Yes","Yes","Rarely","26-100","No","Yes","Yes","Maybe","Maybe","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Maybe","No"
"26","2014","20-35","male","United States","Tennessee","No","Yes","Yes","Yes","Sometimes","1000+","No","No","Yes","Yes","No","Maybe","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No"
"27","2014","20-35","male","United States","Tennessee","No","No","No","Yes",NA,"1-5","No","Yes","Maybe","Maybe","No","Maybe","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Maybe","No"
"28","2014","20-35","female","United States","California","No","Yes","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Maybe","Maybe","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"29","2014","20-35","male","United States","Ohio","No","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Maybe","Maybe","No","Maybe","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No"
"30","2014","35-65","male","United Kingdom",NA,"No","No","No","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","Maybe","No","No"
"31","2014","20-35","male","United Kingdom",NA,"No","No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No"
"32","2014","20-35","male","United States","Pennsylvania","Yes","Yes","No","Yes","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes"
"33","2014","20-35","male","United Kingdom",NA,"No","Yes","Yes","Yes","Sometimes","500-1000","Yes","Yes","Maybe","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Maybe","No"
"34","2014","35-65","male","United States","Washington","No","Yes","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Maybe","No"
"35","2014","35-65","female","United States","Wisconsin","No","No","Yes","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No"
"36","2014","20-35","male","United States","New York","No","No","Yes","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Maybe","No"
"37","2014","20-35","male","Canada",NA,"No","No","No","No","Rarely","1-5","No","Yes","No","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Maybe","No"
"38","2014","35-65","male","Portugal",NA,"No","No","No","No",NA,"100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No"
"39","2014","35-65","male","United States","Indiana","No","No","No","No",NA,"100-500","No","Yes","Yes","Yes","No","Maybe","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Maybe","No"
"40","2014","20-35","male","United States","Texas","No","No","Yes","Yes","Rarely","1000+","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"41","2014","20-35","male","United Kingdom",NA,"No","No","Yes","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes"
"42","2014","20-35","male","United States","Michigan","No","No","No","No",NA,"1000+","Yes","Yes","Yes","Maybe","Maybe","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","Maybe","Maybe","No"
"43","2014","20-35","male","Canada",NA,"No","Yes","Yes","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","No","No","No","Yes","No"
"44","2014","0-20","male","Netherlands",NA,"No","No","No","Yes","Often","6-25","No","Yes","No","Maybe","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No"
"45","2014","20-35","male","United States","Indiana","No","No","Yes","Yes","Sometimes","26-100","No","Yes","Maybe","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Maybe","No"
"46","2014","35-65","female","United States","Texas","No","Yes","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"47","2014","20-35","male","United Kingdom",NA,"No","No","No","No",NA,"26-100","No","Yes","Maybe","Maybe","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Maybe","No"
"48","2014","20-35","male","United States","Tennessee","No","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Maybe","No"
"49","2014","20-35","male","Canada",NA,"Yes","No","No","No","Sometimes","1-5","No","Yes","No","Yes","Yes","No","Don't know","Don't know","No","No","Yes","Yes","No","No","Yes","No"
"50","2014","20-35","male","United States","Illinois","No","Yes","Yes","Yes","Rarely","26-100","No","Yes","Yes","No","No","Maybe","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Maybe","No"
"51","2014","20-35","male","United States","Texas","No","Yes","Yes","Yes","Often","6-25","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","No","No","No","Maybe","Maybe","No"
"52","2014","20-35","male","United States","Utah","No","No","No","No",NA,"100-500","Yes","Yes","Maybe","Maybe","Maybe","Maybe","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Maybe","No"
"53","2014","20-35","male","United States",NA,"No","No","No","No",NA,"100-500","Yes","Yes","Maybe","No","Maybe","Maybe","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Maybe","No"
"54","2014","20-35","male","United States","Tennessee","No","No","No","No","Never","1-5","Yes","Yes","Maybe","Maybe","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Maybe","No"
"55","2014","20-35","male","Switzerland",NA,"No","No","No","No",NA,"100-500","No","Yes","No","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Maybe","No"
"56","2014","20-35","male","United States","New York","No","Yes","Yes","Yes","Rarely","26-100","No","Yes","Yes","Yes","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Maybe","No"
"57","2014","20-35","male","United States","Tennessee","No","Yes","No","Yes",NA,"6-25","Yes","Yes","Maybe","No","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No"
"58","2014","20-35","male","United States","New York","No","Yes","Yes","Yes","Sometimes","26-100","Yes","Yes","Maybe","No","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No"
"59","2014","20-35","male","United States","Tennessee","No","No","No","No",NA,"26-100","No","No","No","No","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Maybe","No"
"60","2014","20-35","male","Canada",NA,"No","Yes","Yes","Yes","Often","6-25","Yes","Yes","Maybe","No","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","Maybe","No"
"61","2014","35-65","male","United States","Iowa","No","Yes","Yes","Yes","Sometimes","1000+","No","No","Yes","No","No","Maybe","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Maybe","Yes"
"62","2014","20-35","female","Poland",NA,"No","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Maybe","Maybe","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"63","2014","20-35","male","United Kingdom",NA,"No","No","No","No","Never","100-500","No","Yes","Yes","Maybe","No","Yes","Don't know","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"64","2014","20-35","male","France",NA,"No","No","No","No",NA,"26-100","No","Yes","No","No","No","No","Don't know","Very easy","Yes","No","No","No","No","No","No","Yes"
"65","2014","20-35","male","Canada",NA,"No","No","No","No","Sometimes","6-25","No","Yes","Maybe","No","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Maybe","No"
"66","2014","35-65","male","United States","California","No","Yes","No","No","Sometimes","1000+","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes"
"67","2014","20-35","female","Australia",NA,"No","Yes","Yes","Yes","Often","1-5","Yes","Yes","No","Maybe","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"68","2014","35-65","male","United States","Texas","No","No","No","Yes","Sometimes","100-500","Yes","Yes","Yes","No","Maybe","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"69","2014","20-35","female","United States","New Mexico","No","No","No","No",NA,"26-100","Yes","No","Maybe","No","Maybe","Maybe","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Maybe","No"
"70","2014","20-35","male","United States","New York","Yes","No","No","No","Rarely","1-5","Yes","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Maybe","No"
"71","2014","20-35","male","France",NA,"No","No","No","No","Never","26-100","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Maybe","No"
"72","2014","20-35","male","Canada",NA,"No","No","No","No","Never","6-25","No","Yes","Maybe","Maybe","Maybe","Maybe","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Maybe","No"
"73","2014","20-35","trans","United States","Massachusetts","No","No","No","No","Rarely","1000+","No","Yes","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Yes","Yes","No","No","No","No"
"74","2014","35-65","male","United Kingdom",NA,"No","No","No","Yes",NA,"26-100","No","Yes","No","No","No","Maybe","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No"
"75","2014","20-35","male","United States","California","No","No","No","Yes","Never","1000+","No","Yes","Maybe","Maybe","Yes","Maybe","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No"
"76","2014","0-20","male","United Kingdom",NA,"No","No","No","No",NA,"1-5","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","No","No","No","No","Maybe","No","No"
"77","2014","20-35","male","United States","Washington","No","No","No","No",NA,"1000+","Yes","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No"
"78","2014","20-35","male","United States","Washington","Yes","Yes","No","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"79","2014","20-35","male","United States","Utah","No","Yes","Yes","Yes","Sometimes","26-100","Yes","Yes","No","No","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Yes","No","No"
"80","2014","20-35","male","Germany",NA,"No","No","No","No","Never","6-25","Yes","Yes","Maybe","No","Maybe","Maybe","Don't know","Very easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"81","2014","35-65","male","United States","New York","No","Yes","No","No","Sometimes","100-500","Yes","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No"
"82","2014","20-35","male","United Kingdom",NA,"No","No","No","No","Never","26-100","No","Yes","Yes","Maybe","Yes","Maybe","Don't know","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"83","2014","20-35","male","Canada",NA,"No","No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","No","No"
"84","2014","20-35","female","United States","New York","Yes","No","Yes","Yes","Often","1-5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No"
"85","2014","20-35","male","United States","California","No","Yes","No","No","Never","1000+","No","Yes","No","No","No","No","Don't know","Don't know","Yes","No","No","No","No","Maybe","No","No"
"86","2014","20-35","male","United States","Texas","No","No","No","No",NA,"26-100","No","Yes","Maybe","Maybe","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No"
"87","2014","35-65","male","United Kingdom",NA,"Yes","No","Yes","Yes","Often","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Maybe","No","Some of them","No","No","Maybe","No","Yes"
"88","2014","20-35","female","United States","Oregon","No","Yes","Yes","Yes","Rarely","500-1000","Yes","Yes","Yes","Maybe","No","Maybe","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Maybe","No"
"89","2014","20-35","female","United States","Florida","No","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes"
"90","2014","20-35","male","United States","Illinois","No","No","No","No",NA,"500-1000","No","Yes","Maybe","No","No","Maybe","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Maybe","No"
"91","2014","20-35","male","United States","New York","No","No","No","No","Never","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No"
"92","2014","35-65","male","United States","Texas","No","No","Yes","Yes","Sometimes","26-100","No","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","Yes","Yes","Yes","No","No"
"93","2014","20-35","male","United States","Ohio","No","No","No","No",NA,"26-100","No","Yes","Maybe","No","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","Maybe","No"
"94","2014","0-20","trans","Russia",NA,"No","No","No","No",NA,"26-100","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","Yes","Maybe","No"
"95","2014","20-35","female","Canada",NA,"No","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Maybe","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Maybe","No"
"96","2014","20-35","male","United States","Minnesota","No","No","No","No","Never","26-100","No","Yes","Maybe","No","No","Maybe","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No"
"97","2014","20-35","male","United States","Missouri","No","Yes","No","No","Rarely","26-100","No","Yes","Maybe","Maybe","No","Maybe","Don't know","Somewhat easy","Maybe","Maybe","Some of them","No","No","Maybe","Maybe","No"
"98","2014","20-35","male","Mexico",NA,"No","Yes","Yes","Yes","Sometimes","6-25","No","Yes","Maybe","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","No","No"
"99","2014","20-35","male","United States","Arizona","No","No","Yes","Yes","Sometimes","6-25","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","Maybe","No","No"
"100","2014","20-35","male","United States","Indiana","No","No","Yes","Yes","Often","1-5","No","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"101","2014","20-35","female","Canada",NA,"No","Yes","Yes","Yes","Sometimes","26-100","No","No","No","Yes","No","No","No","Very difficult","Yes","No","No","No","No","Maybe","No","Yes"
"102","2014","35-65","female","United States","Massachusetts","No","No","No","No","Never","100-500","No","Yes","Yes","Maybe","Maybe","Maybe","Don't know","Don't know","Maybe","Maybe","No","Some of them","No","No","Maybe","No"
"103","2014","20-35","male","United States","New York","No","Yes","No","No",NA,"26-100","No","Yes","Maybe","No","Maybe","Maybe","Don't know","Very easy","No","No","Some of them","Yes","No","No","Maybe","No"
"104","2014","20-35","male","United States","Wisconsin","No","Yes","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"105","2014","20-35","male","United States","New York","No","No","No","No","Never","1000+","No","Yes","Yes","Maybe","Yes","Maybe","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Maybe","No"
"106","2014","20-35","male","United States","Missouri","No","Yes","No","Yes","Rarely","6-25","No","Yes","Yes","Maybe","No","No","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Maybe","No"
"107","2014","20-35","male","United States","Oregon","No","Yes","Yes","Yes","Sometimes","26-100","Yes","Yes","Maybe","Maybe","No","No","Don't know","Somewhat easy","No","No","Some of them","Yes","No","Maybe","No","No"
"108","2014","20-35","male","Brazil",NA,"No","Yes","Yes","Yes","Rarely","6-25","No","Yes","No","No","No","No","No","Don't know","Maybe","No","Yes","Yes","No","No","Maybe","Yes"
"109","2014","20-35","male","United States","Tennessee","No","Yes","No","No","Never","6-25","Yes","Yes","Yes","No","No","No","Don't know","Don't know","Maybe","No","No","No","No","No","Maybe","No"
"110","2014","20-35","male","United States","Washington","No","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","No","Yes","Yes","Yes","Somewhat difficult","Maybe","No","Some of them","Yes","No","Maybe","Yes","No"
"111","2014","20-35","male","United States","New York","No","No","Yes","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","No","Maybe","Yes","Don't know","Yes","No","No","No","No","Yes","No","No"
"112","2014","20-35","male","United States","California","No","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"113","2014","35-65","male","United States","Missouri","No","Yes","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","Yes","Yes","No"
"114","2014","20-35","male","United States","New York","No","No","No","No","Never","100-500","No","Yes","Yes","Yes","No","Maybe","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Maybe","No"
"115","2014","20-35","male","United States","Texas","No","No","No","No",NA,"1000+","No","Yes","Maybe","No","No","Maybe","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Maybe","No"
"116","2014","20-35","male","United Kingdom",NA,"No","No","No","Yes","Never","6-25","No","Yes","Maybe","No","No","Maybe","Don't know","Very easy","No","No","Some of them","Some of them","No","No","Maybe","Yes"
"117","2014","20-35","male","United Kingdom",NA,"Yes","No","No","No","Often","1-5","Yes","No","No","Yes","No","No","Yes","Very difficult","Yes","No","Some of them","Yes","No","Maybe","No","No"
"118","2014","20-35","male","Canada",NA,"No","No","No","No","Rarely","6-25","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Yes","No","No","Maybe","No"
"119","2014","0-20","male","United States","Connecticut","No","No","Yes","Yes","Rarely","1-5","Yes","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","No","No","No","Maybe","No"
"120","2014","20-35","male","United States","Colorado","No","No","No","No",NA,"26-100","Yes","Yes","Maybe","Maybe","No","Maybe","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Maybe","No"
"121","2014","20-35","male","United States","Georgia","No","No","No","No","Never","1000+","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","Yes","Yes","No","No","No","No","Maybe","No"
"122","2014","20-35","male","United States",NA,"No","No","No","No",NA,"26-100","Yes","Yes","Maybe","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Maybe","No"
"123","2014","20-35","male","United States","Minnesota","No","Yes","Yes","Yes","Sometimes","6-25","Yes","Yes","Maybe","No","Maybe","Maybe","Yes","Very easy","No","No","Yes","Yes","No","Maybe","Yes","No"
"124","2014","35-65","male","United States","Washington","No","No","No","No","Often","6-25","No","Yes","Yes","No","No","No","Yes","Don't know","Maybe","No","No","No","No","No","Maybe","No"
"125","2014","20-35","male","Canada",NA,"No","No","Yes","Yes","Never","100-500","No","No","Yes","Maybe","No","No","Don't know","Very difficult","Maybe","No","Some of them","Yes","No","Maybe","No","Yes"
"126","2014","20-35","male","United States","Washington","No","Yes","No","No","Never","500-1000","No","Yes","Yes","No","Yes","Yes","Yes","Don't know","Yes","No","Some of them","No","No","Yes","Maybe","No"
"127","2014","20-35","male","United Kingdom",NA,"No","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Maybe","No"
"128","2014","20-35","male","United States","Oregon","No","No","Yes","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","Yes","Yes","Don't know","Yes","No","No","Yes","No","No","Maybe","No"
"129","2014","20-35","male","United Kingdom",NA,"No","Yes","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Yes","No"
"130","2014","0-20","male","Slovenia",NA,"No","No","Yes","Yes","Sometimes","6-25","No","Yes","Maybe","No","No","No","Don't know","Somewhat easy","Yes","Yes","Some of them","No","No","No","Maybe","No"
"131","2014","20-35","male","United States","Illinois","No","Yes","Yes","Yes","Sometimes","1000+","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Some of them","No","Yes","No","No"
"132","2014","20-35","male","United States","California","No","No","No","Yes","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Very difficult","Maybe","No","Yes","Some of them","No","Yes","Maybe","No"
"133","2014","20-35","male","United States","Nebraska","No","No","No","Yes","Never","26-100","No","Yes","Maybe","Maybe","Maybe","Maybe","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Maybe","No"
"134","2014","35-65","male","Costa Rica",NA,"No","No","No","Yes",NA,"26-100","Yes","Yes","No","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Maybe","Yes","No","No"
"135","2014","20-35","male","Canada",NA,"No","No","Yes","Yes","Never","26-100","No","Yes","Maybe","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Yes","Maybe","No"
"136","2014","35-65","male","United Kingdom",NA,"No","No","No","No","Never","26-100","No","No","No","No","No","No","Don't know","Don't know","Yes","Maybe","No","No","No","No","Maybe","No"
"137","2014","20-35","male","United Kingdom",NA,"No","No","No","Yes","Never","6-25","No","Yes","Maybe","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No"
"138","2014","35-65","male","United States","Iowa","No","No","Yes","Yes","Often","1000+","No","Yes","Yes","Maybe","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Maybe","No"
"139","2014","20-35","female","United States","Maryland","No","No","No","No",NA,"6-25","No","Yes","Maybe","No","No","Maybe","Don't know","Somewhat easy","Maybe","No","Some of them","No","No","No","Maybe","No"
"140","2014","20-35","male","Austria",NA,"No","No","No","No",NA,"6-25","Yes","Yes","Maybe","No","Maybe","No","Don't know","Somewhat easy","No","No","Some of them","Some of them","No","No","Maybe","No"
"141","2014","35-65","male","United States","Oregon","No","Yes","Yes","Yes","Sometimes","100-500","No","Yes","Maybe","No","Maybe","Maybe","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Maybe","No"
